cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-color,stalk-shape,population,habitat,class
f,f,g,n,w,h,t,a,g,e
x,s,w,l,c,n,e,n,g,e
b,s,w,l,c,n,e,s,m,e
b,s,w,l,c,w,e,s,g,e
b,y,w,l,c,w,e,s,m,e
f,s,w,l,w,w,t,v,d,e
x,y,y,l,c,g,e,s,m,e
f,s,w,a,w,p,t,v,d,e
x,y,w,p,c,w,e,v,u,p
f,f,w,l,w,w,t,v,d,e
x,y,y,a,c,n,e,s,g,e
x,s,n,p,c,p,e,v,g,p
b,s,y,l,c,w,e,n,g,e
x,y,n,a,c,w,e,y,p,e
b,y,y,l,c,g,e,n,m,e
s,f,n,n,c,k,e,v,u,e
f,y,n,a,c,w,e,y,p,e
x,y,y,a,c,k,e,n,g,e
x,f,g,n,w,k,t,s,g,e
f,f,w,n,w,k,t,a,g,e
x,y,y,l,c,w,e,n,m,e
b,s,y,l,c,k,e,n,g,e
b,y,w,a,c,g,e,n,m,e
x,y,w,a,c,w,e,s,g,e
x,s,n,n,w,p,t,a,g,e
x,y,w,l,c,g,e,s,g,e
s,f,n,n,c,k,e,v,u,e
x,s,w,a,w,w,t,v,d,e
x,y,n,l,c,w,e,s,g,e
b,y,y,a,c,k,e,n,g,e
x,y,w,a,c,k,e,n,g,e
b,y,w,a,c,n,e,s,m,e
b,s,y,a,c,g,e,s,g,e
b,s,y,l,c,g,e,s,m,e
b,y,y,a,c,n,e,n,g,e
x,f,n,n,c,k,e,y,u,e
f,y,n,l,c,n,e,y,g,e
x,y,w,a,c,k,e,s,g,e
f,y,y,l,c,w,e,y,p,e
b,s,w,a,c,w,e,s,g,e
b,s,w,a,c,w,e,s,m,e
x,y,n,l,c,w,e,y,g,e
b,s,w,a,c,k,e,s,g,e
x,f,g,n,c,g,e,y,u,e
b,s,y,l,c,k,e,s,g,e
x,f,y,l,w,n,t,v,d,e
b,y,y,a,c,w,e,s,g,e
f,y,y,l,c,p,e,s,g,e
b,y,w,l,c,w,e,n,m,e
b,y,w,a,c,k,e,n,m,e
b,y,y,a,c,g,e,s,g,e
x,y,y,l,c,g,e,n,m,e
b,s,y,l,c,g,e,n,g,e
x,y,w,p,c,p,e,v,u,p
s,f,n,n,c,g,e,y,u,e
f,f,n,n,c,g,e,v,u,e
x,s,y,a,c,g,e,s,m,e
f,y,n,a,c,p,e,s,p,e
x,y,w,p,c,k,e,s,g,p
b,s,w,l,c,g,e,s,m,e
f,f,g,n,c,p,e,v,u,e
b,y,y,l,c,g,e,n,g,e
x,y,n,a,c,w,e,y,p,e
x,f,w,n,w,p,t,s,g,e
x,s,w,l,w,w,t,v,d,e
b,s,w,l,c,w,e,s,m,e
f,s,y,a,w,w,t,v,d,e
x,s,y,a,c,k,e,n,m,e
f,f,g,n,c,g,e,y,u,e
b,s,y,a,c,n,e,s,g,e
x,s,w,l,c,g,e,n,m,e
x,y,w,l,c,n,e,s,m,e
f,s,w,a,w,n,t,v,d,e
x,y,y,l,c,w,e,s,g,e
b,s,w,l,c,w,e,s,g,e
x,s,w,a,c,g,e,n,g,e
x,f,w,n,w,h,t,s,g,e
f,y,n,l,c,n,e,y,p,e
x,s,w,p,c,k,e,v,u,p
b,s,w,a,c,n,e,n,g,e
b,s,w,a,c,k,e,s,m,e
b,y,w,l,c,n,e,n,g,e
b,y,w,a,c,w,e,n,g,e
x,s,y,a,c,w,e,s,g,e
b,s,w,l,c,w,e,n,m,e
x,f,y,a,w,n,t,v,d,e
x,f,g,n,c,n,e,y,u,e
f,y,y,a,c,n,e,s,g,e
b,s,w,l,c,n,e,n,m,e
x,s,y,a,c,g,e,s,g,e
x,y,y,a,c,k,e,s,g,e
x,y,w,l,c,w,e,s,g,e
s,f,g,n,c,p,e,v,u,e
x,s,w,a,c,n,e,n,m,e
x,s,w,p,c,k,e,s,g,p
x,y,y,a,c,n,e,s,g,e
f,f,w,a,w,p,t,v,d,e
x,y,w,l,c,g,e,n,m,e
b,y,w,l,c,n,e,s,g,e
x,s,w,a,c,g,e,n,g,e
x,s,y,a,c,g,e,s,g,e
x,y,n,p,c,p,e,v,u,p
b,s,y,a,c,n,e,n,g,e
x,f,g,n,c,n,e,y,u,e
x,y,w,p,c,k,e,s,u,p
x,y,y,l,c,n,e,y,p,e
f,f,n,n,c,k,e,v,u,e
b,s,w,l,c,k,e,n,g,e
x,f,w,l,w,w,t,v,d,e
x,y,w,l,c,w,e,s,g,e
b,y,y,l,c,n,e,s,g,e
x,y,y,l,c,n,e,s,g,e
f,y,y,a,c,p,e,s,p,e
f,y,y,a,c,w,e,y,p,e
x,s,w,l,c,w,e,s,g,e
x,s,w,a,c,w,e,n,m,e
x,s,w,p,c,n,e,v,u,p
f,f,w,a,w,p,t,v,d,e
x,s,w,l,c,w,e,s,g,e
x,s,w,l,w,p,t,v,d,e
x,y,w,a,c,n,e,s,m,e
f,y,y,l,c,w,e,y,p,e
